code,product_name,brands,main_category,categories,labels_tags,allergens,ingredients_text,sugars_100g,lactose_100g,polyols_100g,caffeine_100g,nutriscore_grade,nova_group,url,image_url,axes_sensibles,substitution_group,reason
3380380074394,Galettes Pur Sarrasin,Priméal,en:puffed-buckwheat-cakes,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Galettes de céréales soufflées, Galettes de sarrasin soufflé","en:no-gluten,en:organic,en:eu-organic,en:no-preservatives,en:source-of-fibre,en:eu-agriculture,en:fr-bio-01,en:high-fibres,en:it-bio-014,fr:ab-agriculture-biologique",,"Sarrasin (99,5 %), sel marin.",1.3,,,,a,3,http://world-en.openfoodfacts.org/product/3380380074394/galettes-pur-sarrasin-primeal,https://images.openfoodfacts.org/images/products/338/038/007/4394/front_fr.7.400.jpg,gluten,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
8594038913668,Krupky - Soufflé de Maïs Bébé,"Krupky, Rej",en:puffed-cereals,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Grains soufflées, Céréales soufflées","en:low-or-no-salt,en:low-or-no-sugar,en:no-gluten,en:no-gmos,en:no-preservatives,en:100-natural,en:100-vegetable,en:no-added-salt,en:no-added-sugar,en:no-palm-oil,en:no-peanuts",fr:Fabrication garantie sans allergènes,"99 % semoule de maïs, huile de colza, thiamin ( vitamine B1 )",0.2,,,,a,1,http://world-en.openfoodfacts.org/product/8594038913668/krupky-souffle-de-mais-bebe,https://images.openfoodfacts.org/images/products/859/403/891/3668/front_fr.29.400.jpg,gluten|sucre,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
3229820651064,Galettes extra-fines de maïs,Bjorg,en:puffed-corn-cakes,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Galettes de céréales soufflées, Galettes de maïs soufflé","en:no-gluten,en:organic,en:eu-organic",,,0.6,,,,b,,http://world-en.openfoodfacts.org/product/3229820651064/galettes-extra-fines-de-mais-bjorg,https://images.openfoodfacts.org/images/products/322/982/065/1064/front_fr.4.400.jpg,gluten,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
3229820800981,Galettes de maïs nappées de chocolat noir,Bjorg,en:puffed-corn-cakes-with-black-chocolate,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Galettes de céréales soufflées, Galettes de maïs au chocolat noir","en:no-gluten,en:organic,en:eu-organic,en:eu-agriculture,en:it-bio-007,fr:ab-agriculture-biologique",en:soybeans,"Chocolat noir* 57% (sucre de canne*, pâte de cacao, beurre de cacao*, émulsifiant: lécithines* (soja), maïs* 43%, sel. Peut contenir des traces de lait, fruits à coque et graines de sésame.",25,,,,e,4,http://world-en.openfoodfacts.org/product/3229820800981/galettes-de-mais-nappees-de-chocolat-noir-bjorg,https://images.openfoodfacts.org/images/products/322/982/080/0981/front_fr.14.400.jpg,gluten|lactose|sucre|legumineuses|ultra_transforme,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
3229820779140,Galettes Maïs - chocolat lait,Bjorg,en:puffed-corn-cakes-with-milk-chocolate,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Galettes de céréales soufflées, Galettes de maïs au chocolat au lait","en:no-gluten,en:organic,en:eu-organic",,,33,,,,e,,http://world-en.openfoodfacts.org/product/3229820779140/galettes-mais-chocolat-lait-bjorg,https://images.openfoodfacts.org/images/products/322/982/077/9140/front_fr.3.400.jpg,gluten|lactose|sucre,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
4104420208254,Linsen Waffeln,Alnatura,en:puffed-lentil-cakes,Puffed lentil cakes,"en:vegetarian,en:no-gluten,en:organic,en:crossed-grain-trademark,en:eu-organic,en:vegan,de:bio-7-initiative,de:eg-öko-verordnung,en:cz-bio-001,en:dzg-gluten-free,en:the-vegan-society,de:bio-label-german,de:dgz-gluten-free,de:vegan-society-vegan-logo",,"Linsenmehl* 99,5 %, Meersalz *aus biologischer Landwirtschaft Kann Spuren von Soja enthalten.",1.5,,,0,a,1,http://world-en.openfoodfacts.org/product/4104420208254/linsen-waffeln-alnatura,https://images.openfoodfacts.org/images/products/410/442/020/8254/front_en.60.400.jpg,gluten|cafeine|legumineuses,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
4104420233980,Galettes de maïs amarante au fenouil,Alnatura,en:puffed-multigrain-cakes,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Galettes de céréales soufflées, Galettes de maïs soufflé, Galettes multicéréales soufflées","en:no-gluten,en:organic,de:bio-7-initiative",,,0.6,,,,b,,http://world-en.openfoodfacts.org/product/4104420233980/galettes-de-mais-amarante-au-fenouil-alnatura,https://images.openfoodfacts.org/images/products/410/442/023/3980/front_fr.3.400.jpg,gluten,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
8471557500763,Riz soufflé,Grillon d'Or,en:puffed-rice,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Grains soufflées, Céréales soufflées, Riz soufflé","en:organic,en:eu-organic,en:eu-agriculture,en:fr-bio-01,en:green-dot,en:no-added-sugar,fr:ab-agriculture-biologique",,Riz soufflé.,0.5,,,,b,1,http://world-en.openfoodfacts.org/product/8471557500763/riz-souffle-grillon-d-or,https://images.openfoodfacts.org/images/products/847/155/750/0763/front_fr.11.400.jpg,sucre,low_sugar_snacks_breakfast,signal sucre (labels ou nutriments) + catégorie snack/petit-dej
3380380093906,Galettes de riz,Priméal,en:puffed-rice-cakes,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Galettes de céréales soufflées,Galettes de riz soufflé","en:no-gluten,en:organic,en:eu-organic,fr:ab-agriculture-biologique",,"riz rond complet  et riz rond demi-complet de Camargue, sel marin de Camargue. Peut contenir des traces de sésame. Sans gluten.",0.4,,,,b,3,http://world-en.openfoodfacts.org/product/3380380093906/galettes-de-riz-primeal,https://images.openfoodfacts.org/images/products/338/038/009/3906/front_fr.3.400.jpg,gluten,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
3175681224957,Galette de riz chocolat noir,Gerblé,en:puffed-rice-cakes-with-black-chocolate,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Galettes de céréales soufflées, Galettes de riz soufflé, Galettes de riz au chocolat noir",en:no-gluten,,,22,,,,e,,http://world-en.openfoodfacts.org/product/3175681224957/galette-de-riz-chocolat-noir-gerble,https://images.openfoodfacts.org/images/products/317/568/122/4957/front_fr.4.400.jpg,gluten|sucre,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
3564707119184,Galettes de riz fourrées chocolat noisette bio x 6,"Bio Village, Marque Repère",en:puffed-rice-cakes-with-milk-chocolate,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Puffed cereal cakes, Puffed rice cakes, en:puffed-rice-cakes-with-milk-chocolate","en:no-gluten,en:organic,en:eu-organic,en:non-eu-agriculture,en:be-bio-02,en:eu-agriculture,en:eu-non-eu-agriculture,en:fsc,en:fsc-mix,en:made-in-belgium,en:new,fr:ab-agriculture-biologique,fr:fsc-c017110","en:milk,en:nuts","Riz* 54 % (riz complet* 37 % minimum, riz*), sucre*, chocolat* 8,5 % (pâte de cacao*, sucre*, beurre de cacao*, gousses de vanille broyées*), huile de colza*, lait écrémé en poudre*, beurre de cacao*, cacao en poudre*, noisettes* 0,4 %, émulsifiant : lécithines (tournesol)*, sel, gousses de vanille broyées*. Traces de graines de sésame. *Ingrédients issus de l'agriculture biologique.",27,,,,d,4,http://world-en.openfoodfacts.org/product/3564707119184/galettes-de-riz-fourrees-chocolat-noisette-bio-x-6-bio-village,https://images.openfoodfacts.org/images/products/356/470/711/9184/front_fr.50.400.jpg,gluten|lactose|sucre|ultra_transforme,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
4104420054400,Bio Galattes de Riz au yaourt Fraise sans gluten,Alnatura,en:puffed-rice-cakes-with-yogurt,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Puffed cereal cakes, Puffed rice cakes, Puffed rice cakes with yogurt, en:puffed-rice-cakes-with-white-chocolate","en:no-gluten,en:organic,en:eu-organic,en:non-eu-agriculture,de:bio-7-initiative,de:eg-öko-verordnung,en:eu-agriculture,en:eu-non-eu-agriculture,en:nl-bio-01","en:milk,en:sesame-seeds","Nappage au yaourt 60 % ( sucre de canne brut, beurre de cacao, yaourt au lait écrémé en poudre 9 %, lait entier en poudre, poudre de fraise 2 %, poudre de groseille rouge), galettes de riz 40 %, (riz complet 99 %, sésame, sel marin)",30.5,,,,e,3,http://world-en.openfoodfacts.org/product/4104420054400/bio-galattes-de-riz-au-yaourt-fraise-sans-gluten-alnatura,https://images.openfoodfacts.org/images/products/410/442/005/4400/front_fr.11.400.jpg,gluten|lactose|sucre,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
3609200007245,Corn Crackers Au Chia,"N.A!, N.A! NATURE ADDICTS",en:puffed-salty-snacks-made-from-maize,"snacks, snacks-sales, amuse-gueules, biscuits-aperitifs, biscuits-aperitifs-souffles, biscuits-aperitifs-souffles-a-base-de-mais","en:no-gluten,en:organic",,"maïs** 78% (origine : UE), huile de maïs**, graines de chia** (Salvia hispanica) 10%, sel de mer, arôme naturel d’olive. **Ingrédient issu de l’agriculture biologique.",0.5,,,,c,3,http://world-en.openfoodfacts.org/product/3609200007245/corn-crackers-au-chia-n-a,https://images.openfoodfacts.org/images/products/360/920/000/7245/front_fr.3.400.jpg,gluten|ultra_transforme,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
3609200010245,Crisp'bean,Nature Addicts,en:puffed-salty-snacks-potato-soy-based,"snacks, snacks-sales, amuse-gueules, biscuits-aperitifs, biscuits-aperitifs-souffles",en:no-gluten,,"Farine de haricots d'Espagne (60%), farine de mais, huile de tournesol, arôme naturel de fromage avec autres arômes naturels (contient LAIT), sel de mer.",3.8,,,,d,4,http://world-en.openfoodfacts.org/product/3609200010245/crisp-bean-nature-addicts,https://images.openfoodfacts.org/images/products/360/920/001/0245/front_fr.12.400.jpg,gluten|lactose|legumineuses|ultra_transforme,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
3770009774024,pain poppé,Leclerc,en:puffed-wheat-cakes,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Puffed cereal cakes, Puffed wheat cakes, en:breads","en:no-preservatives,en:no-added-sugar,en:no-additives,en:nutriscore,en:nutriscore-grade-a","en:gluten,en:soybeans","farine de BLE 88%, farine de riz noir 10%, huile de SOJA 0,5%, stevia,sucre de canne, sel de Guérande Allergènes alimentaires : GLUTEN, SOJA pour 100g tranche unité",2.2,,,,a,4,http://world-en.openfoodfacts.org/product/3770009774024/pain-poppe-leclerc,https://images.openfoodfacts.org/images/products/377/000/977/4024/front_fr.27.400.jpg,gluten|sucre|legumineuses,low_sugar_snacks_breakfast,signal sucre (labels ou nutriments) + catégorie snack/petit-dej
3229820794624,Galettes riz complet Bio,Bjorg,en:puffed-wholegrain-rice-cakes,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Galettes de céréales soufflées, Galettes de riz soufflé, Galettes de riz complet soufflé","en:no-gluten,en:organic,en:eu-organic,en:certified-b-corporation,en:fr-bio-01,en:made-in-italy,en:nutriscore,en:nutriscore-grade-a,fr:triman",,"Riz complet 99,7%, sel",0.599,,,,b,3,http://world-en.openfoodfacts.org/product/3229820794624/galettes-riz-complet-bio-bjorg,https://images.openfoodfacts.org/images/products/322/982/079/4624/front_fr.133.400.jpg,gluten,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
